PMID,PMCID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,NIHMS ID,Open Source?,DOI,Is this DTI?,"Which imaging modality was used? e.g electroencephalogram (EEG), Positron emission tomography (PET), Anatomical MRI, fMRI, diffusion MRI (dMRI) etc",Is this a single study or a review?,Human study or not?,"Does this study dementia, alzheimers, or related disease? 
",Which one?,What tracts were studied?,"How are results presented? T-tests, beta effect sizes, ANOVA, Chi test, regression etc","What analysis software libraries are being used e.g dipy.org, fsl, freesurfer, PRIDE ..?","What was the diffusion measure e.g Fractional Anisotropy (FA), Mean Diffusivity (MD), Axial diffusivity (AD), Radial diffusivity (RD)?","Were increases or decreases in WM integrity reported relative to the disease population? Eg: AD> HC= RD increase (Corpus Callosum, Cingulum) , AD<HC = FA decreases (cingulum). If Column T is NA enter NA here. (What it means, comparing Alzheimer's disease with Health Control, there was increase in Radial diffusivity in the Corpus Callosum and Cingulum white matter tracts, etc).",Group Difference Explored e.g AD (Alzheimer) vs HC (Health Control)?,"Brain Template/ Space e.g MNI, JHU","Do they present results using x,y,z coordinates?",Other notes
28975068,PMC5614750,Longitudinal white matter change in frontotemporal dementia subtypes and sporadic late onset Alzheimer's disease,"Elahi FM, Marx G, Cobigo Y, Staffaroni AM, Kornak J, Tosun D, Boxer AL, Kramer JH, Miller BL, Rosen HJ.",Neuroimage Clin. 2017 Sep 14;16:595-603. doi: 10.1016/j.nicl.2017.09.007. eCollection 2017.,Elahi FM,Neuroimage Clin,2017,10/5/17,,yes,10.1016/j.nicl.2017.09.007,yes,dMRI,Single study,yes,yes,bvFTD,"Corpus Callosum, Corpus Callosum - Genu, Tapetum, Uncinate Fasciculus, Fornix",AnoVA,"FSL, SPM, MATLAB","FA, MD","FTD<HC = FA decreases, MD increases (frontal tracts in bvFTD; frontal+temporal tracts in nfvPPA & svPPA); AD<HC = FA decreases, MD increases (posterior tracts)",bvFTD vs HC; nfvPPA vs HC; svPPA vs HC; AD vs HC; longitudinal within-group change over 1 year,MNI,no,
38378607,PMC10877805,"The relationship between amyloid pathology, cerebral small vessel disease, glymphatic dysfunction, and cognition: a study based on Alzheimer's disease continuum participants","Hong H, Hong L, Luo X, Zeng Q, Li K, Wang S, Jiaerken Y, Zhang R, Yu X, Zhang Y, Lei C, Liu Z, Chen Y, Huang P, Zhang M; Alzheimer’s Disease Neuroimaging Initiative (ADNI).",Alzheimers Res Ther. 2024 Feb 20;16(1):43. doi: 10.1186/s13195-024-01407-w.,Hong H,Alzheimers Res Ther,2024,2/20/24,,yes,10.1186/s13195-024-01407-w,yes,"dMRI, Amyloid PET, DTI-APLS",Single study,yes,yes,Alzheimers Disease,Na,"AnoVA, beta effect, regression","FSL, FreeSurfer, SPM/MATAB",DTI-ALPS (no FA/MD/RD/AD reported),High Aβ > Low Aβ = ALPS decreases (global perivascular WM); High WMH > Low WMH = ALPS decreases (global perivascular WM); High Aβ > Low Aβ = Choroid plexus volume increases; High WMH > Low WMH = Choroid plexus volume increases; PVS enlargement = NS,"CN− vs CN+, CN+ vs MCI+, MCI+ vs AD+",MNI,no,
31585368,PMC6914220,Association of white matter microstructural integrity with cognition and dementia,"Power MC, Su D, Wu A, Reid RI, Jack CR, Knopman DS, Coresh J, Huang J, Kantarci K, Sharrett AR, Gottesman RG, Griswold ME, Mosley TH.",Neurobiol Aging. 2019 nov;83:63-72. doi: 10.1016/j.neurobiolaging.2019.08.021. Epub 2019 Aug 29.,Power MC,Neurobiol Aging,2019,10/5/19,NIHMS1545638,no,10.1016/j.neurobiolaging.2019.08.021,yes,dMRI,Single study,yes,yes,Dementia,"Anterior Corpus Callosum, Corpus Callosum, Global",regression,FSL,"FA, MD","Higher MD > Lower MD = Worse cognition (global); Higher MD > Lower MD = Higher risk of prevalent MCI/dementia; Higher MD > Lower MD = Faster cognitive decline, higher risk of incident MCI/dementia/mortality.
Higher FA < Lower FA = Worse baseline cognition, higher prevalent MCI/dementia risk (cross-sectional only; no longitudinal effect)",CN vs MCI vs Dementia,N/A (not mentioned),no,
26515192,PMC5167220,An advanced white matter tract analysis in frontotemporal dementia and early-onset Alzheimer's disease,"Daianu M, Mendez MF, Baboyan VG, Jin Y, Melrose RJ, Jimenez EE, Thompson PM.",Brain Imaging Behav. 2016 Dec;10(4):1038-1053. doi: 10.1007/s11682-015-9458-5.,Daianu M,Brain Imaging Behav,2016,10/31/15,NIHMS815321,yes,10.1007/s11682-015-9458-5,yes,dMRI,Single study,yes,yes,"bvFTD, Alzheimers Disease","Anterior Thalamic Radiation, Corpus Callosum, Parietal Corpus Callosum, Cingulum, Corticospinal Tract, Inferior Fronto-Occipital Fasciculus, Inferior Longitudinal Fasciculus, Parahippocampal Cingulum, Superior Longitudinal Fasciculus, Uncinate Fasciculus",regression,N/A (could be FSL but not explicitly stated),"FA, MD, RD, AD","bvFTD < HC = FA decreases; bvFTD > HC = MD & RD increases (bilateral uncinate fasciculus, frontal callosum, ATR, cingulum, L-SLF).
bvFTD < EOAD = Greater MD/RD increases across frontal tracts.
EOAD < HC = FA decreases; EOAD > HC = MD & RD increases (parietal corpus callosum, parahippocampal cingulum)",bvFTD vs HC; EOAD vs HC; bvFTD vs EOAD,N/A (not mentioned),no,
19439421,PMC2732263,White matter damage in frontotemporal dementia and Alzheimer's disease measured by diffusion MRI,"Zhang Y, Schuff N, Du AT, Rosen HJ, Kramer JH, Gorno-Tempini ML, Miller BL, Weiner MW.",Brain. 2009 Sep;132(Pt 9):2579-92. doi: 10.1093/brain/awp071. Epub 2009 May 12.,Zhang Y,Brain,2009,5/15/09,,yes,10.1093/brain/awp071,yes,t-1 weighted structural MRI,Single study,yes,yes,"Frontal Temporal Dementia, Alzheimers Disease","Anterior Corpus Callosum, (Anterior) Cingulum Bundle, Cingulum, Uncinate Fasciculus, Corpus Callosum, Internal Capsule, Corpus Callosum - Genu, Corpus Callosum - Splenium, Corticospinal Tract","AnoVA, MAnoVA",SPM,FA,"FTD < HC = FA decreases (anterior corpus callosum, bilateral anterior & descending cingulum, bilateral uncinate).
AD < HC = FA decreases (left anterior & posterior cingulum, bilateral descending cingulum, left uncinate).
FTD < AD = FA decreases (frontal tracts).",FTD vs HC; AD vs HC; FTD vs AD,N/A,no,
38702626,PMC11067201,Predicting Alzheimer's progression in MCI: a DTI-based white matter network model,"Song Q, Peng J, Shu Z, Xu Y, Shao Y, Yu W, Yu L.",BMC Med Imaging. 2024 May 3;24(1):103. doi: 10.1186/s12880-024-01284-7.,Song Q,BMC Med Imaging,2024,5/3/24,,yes,10.1186/s12880-024-01284-7,yes,dMRI,Single study,yes,yes,"Alzheimers Disease, Mild Cognitive Impairment",Na,"-test, Mann-Whitney U test, X2 test, or Fisher’s exact test","FSL, SPSS, MedCalc",FA,N/A (prediction model so no tract specific FA/MD),MCI progressors (converters to AD over 4 years) vs MCI non-progressors (stable MCI),MNI space via DSI Studio QSDR,no,
33848693,,White matter abnormalities of right hemisphere attention networks contribute to visual hallucinations in dementia with Lewy bodies,"Zorzi G, Thiebaut de Schotten M, Manara R, Bussè C, Corbetta M, Cagnin A.",Cortex. 2021 Jun;139:86-98. doi: 10.1016/j.cortex.2021.03.007. Epub 2021 Mar 18.,Zorzi G,Cortex,2021,4/13/21,,,10.1016/j.cortex.2021.03.007,yes,"dMRI, structural MRI",Single study,yes,yes,LBD,"Superior Longitudinal Fasciculus, Inferior Longitudinal Fasciculus","AnoVA, Student's t, the Kruskal–Wallis, and the Mann–Whitney tests","FSL, FreeSurfer, MRtrix3, CONN toolbox (rs-fMRI connectivity)","FA, MD","DLB-VH < DLB-noVH = FA decrease (right ILF, right SLF)
DLB-VH > DLB-noVH = MD increase (right ILF, right SLF)",DLB with visual hallucinations vs DLB without visual hallucinations; DLB groups vs healthy controls,MNI space via standard FSL / FreeSurfer pipelines,no,
31881858,PMC6933911,"Multimodal MRI of grey matter, white matter, and functional connectivity in cognitively healthy mutation carriers at risk for frontotemporal dementia and Alzheimer's disease","Feis RA, Bouts MJRJ, Dopper EGP, Filippini N, Heise V, Trachtenberg AJ, van Swieten JC, van Buchem MA, van der Grond J, Mackay CE, Rombouts SARB.",BMC Neurol. 2019 Dec 27;19(1):343. doi: 10.1186/s12883-019-1567-0.,Feis RA,BMC Neurol,2019,12/29/19,,yes,10.1186/s12883-019-1567-0,yes,"structural MRI, dMRI, resting-state fMRI",Single study,yes,yes,"Frontal Temporal Dementia, Alzheimers Disease","Corpus Callosum, Cingulum, Inferior Fronto-Occipital Fasciculus, Superior Longitudinal Fasciculus, Corticospinal Tract, Forceps Minor, Corpus Callosum - Splenium, Anterior Thalamic Radiation, Uncinate Fasciculus","t-test, AnoVA, Bonferroni post-hoc tests. X2","FSL, FreeSurfer, MELODIC + dual regression for rs-fMRI",FA,"APOE4+ < APOE4− = FA decrease (splenium, right IFOF)
MAPT/GRN carriers = no FA change vs controls","MAPT/GRN mutation carriers vs controls
APOE4 carriers vs non-carriers",MNI space (FSL TBSS standard skeleton),no,
24150110,PMC3947877,Regional differences in white matter breakdown between frontotemporal dementia and early-onset Alzheimer's disease,"Lu PH, Lee GJ, Shapira J, Jimenez E, Mather MJ, Thompson PM, Bartzokis G, Mendez MF.",J Alzheimers Dis. 2014;39(2):261-9. doi: 10.3233/JAD-131481.,Lu PH,J Alzheimers Dis,2014,10/24/13,NIHMS558509,no,10.3233/JAD-131481,yes,"dMRI, structural MRI",Single study,yes,yes,"bvFTD, Alzheimers Disease","Corpus Callosum - Splenium, Corpus Callosum - Genu",AnoVA,FSL,"FA, MD, RD, AD","bvFTD < AD/HC = FA decrease, MD increase, RD increase, AD increase in frontal WM + genu (late-myelinating regions) ; AD < bvFTD/HC = FA decrease, MD increase (trend) in splenium",bvFTD vs AD vs HC,not explicitly stated; potentially MNI,no,
38010204,PMC10841586,"Associations between white matter integrity of the cingulum bundle, surrounding gray matter regions, and cognition across the dementia continuum","Groechel RC, Alosco ML, Dixon D, Tripodis Y, Mez J, Goldstein L, Budson AE, Qiu WQ, Killiany RJ.",J Comp Neurol. 2023 Dec;531(18):2162-2171. doi: 10.1002/cne.25564. Epub 2023 nov 27.,Groechel RC,J Comp Neurol,2023,11/27/23,NIHMS1944536,no,10.1002/cne.25564,yes,"dMRI, structural MRI",Single study,yes,yes,"Alzheimers Disease, Mild Cognitive Impairment",Cingulum,"AnoVA, Linear regression, beta effect","FSL, FreeSurfer (GM segmentation)","FA, MD, RD, AD","Dementia < MCI < Controls = FA decrease, MD/RD/AD increase in both ventral & dorsal cingulum",Cognitively normal controls vs amnestic MCI vs dementia (AD/ADRD),MNI,no,
22952843,PMC3430626,Grey and white matter changes across the amyotrophic lateral sclerosis-frontotemporal dementia continuum,"Lillo P, Mioshi E, Burrell JR, Kiernan MC, Hodges JR, Hornberger M.",PLoS One. 2012;7(8):e43993. doi: 10.1371/journal.pone.0043993. Epub 2012 Aug 29.,Lillo P,PLoS One,2012,9/7/12,,yes,10.1371/journal.pone.0043993,yes,dMRI,Single study,yes,yes,Frontal Temporal Dementia,"Corticospinal Tract, Corpus Callosum, Inferior Longitudinal Fasciculus, Forceps Minor, Anterior Corpus Callosum",t test,FSL,FA,"all groups showed FA decrease, showing reduced WM integrity compared to HC",ALS vs HC,MNI152,no,ALS and FTD
33199431,,Multi-shell Diffusion MRI Models for White Matter Characterization in Cerebral Small Vessel Disease,"Konieczny MJ, Dewenter A, Ter Telgte A, Gesierich B, Wiegertjes K, Finsterwalder S, Kopczak A, Hübner M, Malik R, Tuladhar AM, Marques JP, norris DG, Koch A, Dietrich O, Ewers M, Schmidt R, de Leeuw FE, Duering M.",Neurology. 2021 Feb 2;96(5):e698-e708. doi: 10.1212/WNL.0000000000011213. Epub 2020 nov 16.,Konieczny MJ,Neurology,2021,11/17/20,,,10.1212/WNL.0000000000011213,yes,MRI,Single study,yes,no,NA,Global,"linear regression, t-tests for group comparisons","FSL, DKE, RStudio","FA, MD, AD, RD, MK, AK, RK, KFA, NDI, ODI, fECV, fCSF","for sporadic cerebral small vessel disease and geentic svd, < HC = FA decreased. for SVD/CADASIL > HC = MD increase, RD increase, AD increased (corpus callosum, corona radiata, cingulum, internal capsule)",sporadic SVD vs CADASIL,"MNI152, JHU w custom exclusion mask",no,
27436017,PMC5334426,Functional connectivity and microstructural white matter changes in phenocopy frontotemporal dementia,"Meijboom R, Steketee RME, de Koning I, Osse RJ, Jiskoot LC, de Jong FJ, van der Lugt A, van Swieten JC, Smits M.",Eur Radiol. 2017 Apr;27(4):1352-1360. doi: 10.1007/s00330-016-4490-4. Epub 2016 Jul 19.,Meijboom R,Eur Radiol,2017,7/21/16,,yes,10.1007/s00330-016-4490-4,yes,dMRI,Single study,yes,yes,phFTD,"Cingulum, Cingulate Cingulum, Cingulum (Hippocampus), Inferior Fronto-Occipital Fasciculus, Superior Longitudinal Fasciculus, Uncinate Fasciculus, Corpus Callosum, Corpus Callosum - Genu",AnoVA,"ExploreDTI, FSL","FA, MD, RD","phenocopy frontotemporal dementia vs HC, FA decrease, MD decrease, RD increase",phFTD and HC,"MNI152, JHU",no,
32032816,PMC7005463,Correlation of microglial activation with white matter changes in dementia with Lewy bodies,"Nicastro N, Mak E, Williams GB, Surendranathan A, Bevan-Jones WR, Passamonti L, Vàzquez Rodrìguez P, Su L, Arnold R, Fryer TD, Hong YT, Aigbirhio FI, Rowe JB, O'Brien JT.",Neuroimage Clin. 2020;25:102200. doi: 10.1016/j.nicl.2020.102200. Epub 2020 Jan 28.,Nicastro N,Neuroimage Clin,2020,2/8/20,,yes,10.1016/j.nicl.2020.102200,yes,"dMRI, PET,",Single study,yes,yes,LBD,"Corpus Callosum, Corona Radiata, Superior Longitudinal Fasciculus",t-test,"VBM, TBS","FA, MD, RD","DLB < HC = decreased FA , DLB > HC = increased MD , DLB > HC = increased RD [right anterior and posterior corona radiata, left cingulate gyrus, and right superior longitudinal fasciculus]",DLB vs HC,"MNI152, JHU",no,"DLB < HC, decrease FA  and DLB< HC, increase in MD and DLB>HC increase in RD (ight anterior and posterior corona radiata, left cingulate gyrus, and right superior longitudinal fasciculus"
34230607,PMC8258736,Neurobiology of loneliness: a systematic review,"Lam JA, Murray ER, Yu KE, Ramsey M, Nguyen TT, Mishra J, Martis B, Thomas ML, Lee EE.",Neuropsychopharmacology. 2021 Oct;46(11):1873-1887. doi: 10.1038/s41386-021-01058-7. Epub 2021 Jul 6.,Lam JA,Neuropsychopharmacology,2021,7/7/21,,yes,10.1038/s41386-021-01058-7,no,dMRI,Review,yes,no,NA,Na,correlational/regressional models,n/a,"FA, MD, AD, RD","loneliness > control = reduced FA and WM integrity in Corpus Callosum, SLF, corona radiata",leison vs HC,MNI152,no,
25863527,PMC4433563,White matter integrity in dementia with Lewy bodies: a voxel-based analysis of diffusion tensor imaging,"Nedelska Z, Schwarz CG, Boeve BF, Lowe VJ, Reid RI, Przybelski SA, Lesnick TG, Gunter JL, Senjem ML, Ferman TJ, Smith GE, Geda YE, Knopman DS, Petersen RC, Jack CR Jr, Kantarci K.",Neurobiol Aging. 2015 Jun;36(6):2010-7. doi: 10.1016/j.neurobiolaging.2015.03.007. Epub 2015 Mar 14.,Nedelska Z,Neurobiol Aging,2015,4/13/15,NIHMS672431,no,10.1016/j.neurobiolaging.2015.03.007,yes,dMRI,Single study,yes,yes,LBD,Global,"Kruskal-Wallis, Wilcoxon two-sample rank sum test, Spearman rank correlation","FSL, ANTs, SPM5",FA,"DLB < CN = FA decreased in parierto occipital WM, DLB > AD = FA increases in parahippocampal WM","DLB vs HC, AD vs HC, DLB vs AD",MNI152,no,
29901746,,Brain MRI fiber-tracking reveals white matter alterations in hypertensive patients without damage at conventional neuroimaging,"Carnevale L, D'Angelosante V, Landolfi A, Grillea G, Selvetella G, Storto M, Lembo G, Carnevale D.",Cardiovasc Res. 2018 Sep 1;114(11):1536-1546. doi: 10.1093/cvr/cvy104.,Carnevale L,Cardiovasc Res,2018,6/15/18,,,10.1093/cvr/cvy104,yes,MRI,Single study,yes,no,NA,"Anterior Thalamic Radiation, Superior Longitudinal Fasciculus, Forceps Minor","t-tests, Mann-Whitney tests, Pearson Correlations, ANCOVA","SSPS, FSL","FA, MD, AD, RD","FA < MD, RD, AD all increase",n/a,Montreal Neurological Institute 152-subject template,no,
30538047,,MR approaches in neurodegenerative disorders,Blamire AM.,Prog Nucl Magn Reson Spectrosc. 2018 Oct;108:1-16. doi: 10.1016/j.pnmrs.2018.11.001. Epub 2018 nov 3.,Blamire AM,Prog Nucl Magn Reson Spectrosc,2018,12/13/18,,,10.1016/j.pnmrs.2018.11.001,yes,MR,Review,yes,yes,LBD,Na,n/a; narrative synthesis,"FreeSurfer, SPM, FSL","FA, MD, AxD, RD","AD < HC = decreased FA, AD > HC = increased MD, increased RD, sometimes increased AxD","yes; AD vs HC, AD vs DLB","MNI, JHU, TBSS",no,
25347157,PMC4810441,White matter integrity determined with diffusion tensor imaging in older adults without dementia: influence of amyloid load and neurodegeneration,"Kantarci K, Schwarz CG, Reid RI, Przybelski SA, Lesnick TG, Zuk SM, Senjem ML, Gunter JL, Lowe V, Machulda MM, Knopman DS, Petersen RC, Jack CR Jr.",JAMA Neurol. 2014 Dec;71(12):1547-54. doi: 10.1001/jamaneurol.2014.1482.,Kantarci K,JAMA Neurol,2014,10/28/14,NIHMS768082,no,10.1001/jamaneurol.2014.1482,yes,dMRI,Single study,yes,yes,Dementia,"Corpus Callosum - Genu, Corpus Callosum - Splenium, Corpus Callosum, Hippocampal Cingulum, Cingulate Cingulum, Fornix","Kruskal-Wallis test, Chi-Squared, Spearman's rank correlation","FSL, FreeSurfer, ANTS-SyN, SPM5",FA,"FA decrease in fornix, corpus callosum, cingulum, occipital WM, amyloid-positive group --> no fa differences",CN and MCI,JHU DTI,no,
