section,field,f1,ci_lower,ci_upper,error_lower,error_upper,p_value,p_value_raw,sig_level,sig_symbol
Discussion,Study Design [Review/Original],0.9307432432432432,0.9135929671269705,0.9449081803005008,0.017150276116272734,0.014164937057257632,<0.002,<0.002,FDR q < 0.001 (Very Highly Significant),***
Discussion,Neurological Disorders,0.5634218289085545,0.5267058354541327,0.602759150417476,0.03671599345442178,0.03933732150892144,0.784,0.616,FDR q ≥ 0.05  (Not Significant),
Discussion,White Matter Tracts,0.3710086163203244,0.3407705056512226,0.40001461988304093,0.030238110669101814,0.029006003562716542,<0.002,<0.002,FDR q < 0.001 (Very Highly Significant),***
Abstract+Methods,DTI Methodology [Y/N],0.9852459016393442,0.9784768211920529,0.9910350448247759,0.006769080447291298,0.005789143185431667,0.884,0.758,FDR q ≥ 0.05  (Not Significant),
Abstract+Methods,Subject Species [Human/Other],0.9931972789115646,0.9880749574105622,0.997425440599032,0.005122321501002447,0.004228161687467424,0.892,0.892,FDR q ≥ 0.05  (Not Significant),
Abstract+Methods,Dementia-Related[Y/N],0.8297872340425532,0.8038959373852637,0.8578269215494188,0.02589129665728951,0.028039687506865585,0.280,0.220,FDR q ≥ 0.05  (Not Significant),
Abstract+Methods,Study Design [Review/Original],0.9758064516129032,0.9636216653193209,0.9863013698630136,0.012184786293582328,0.010494918250110397,0.039,0.028,FDR q < 0.05  (Statistically Significant),*
Abstract+Methods,Neurological Disorders,0.59958071278826,0.5627203888454774,0.6373923376269044,0.0368603239427826,0.03781162483864442,<0.002,<0.002,FDR q < 0.001 (Very Highly Significant),***
Abstract+Methods,White Matter Tracts,0.38685586258401794,0.35253949789653244,0.4190194255937954,0.0343163646874855,0.03216356300977746,<0.002,<0.002,FDR q < 0.001 (Very Highly Significant),***
Abstract+Results,DTI Methodology [Y/N],0.9818780889621087,0.9734660033167496,0.9893179950698439,0.008412085645359113,0.00743990610773515,0.227,0.146,FDR q ≥ 0.05  (Not Significant),
Abstract+Results,Subject Species [Human/Other],0.9871685201026519,0.979659287443791,0.9931862684132433,0.007509232658860832,0.006017748310591431,0.053,0.034,FDR q ≥ 0.05  (Not Significant),
Abstract+Results,Dementia-Related[Y/N],0.833729216152019,0.8083451987162235,0.8621147886107805,0.025384017435795547,0.0283855724587615,0.548,0.470,FDR q ≥ 0.05  (Not Significant),
Abstract+Results,Study Design [Review/Original],0.9774557165861514,0.9653505237711523,0.9871576314091686,0.01210519281499911,0.009701914823017188,0.274,0.274,FDR q ≥ 0.05  (Not Significant),
Abstract+Results,Neurological Disorders,0.6043478260869565,0.5679869694568945,0.6406501990405227,0.036360856630061944,0.0363023729535662,<0.002,<0.002,FDR q < 0.001 (Very Highly Significant),***
Abstract+Results,White Matter Tracts,0.4423783783783784,0.41157151156909455,0.47408033033033037,0.03080686680928385,0.03170195195195197,0.079,0.062,FDR q ≥ 0.05  (Not Significant),
Abstract+Discussion,DTI Methodology [Y/N],0.9836065573770492,0.9760528488852188,0.9910350448247759,0.0075537084918303465,0.007428487447726728,0.613,0.438,FDR q ≥ 0.05  (Not Significant),
Abstract+Discussion,Subject Species [Human/Other],0.9931856899488927,0.9880336757990869,0.9974598872110759,0.005152014149805817,0.004274197262183255,0.840,0.720,FDR q ≥ 0.05  (Not Significant),
Abstract+Discussion,Dementia-Related[Y/N],0.8364485981308412,0.8115166407610548,0.8650551483264847,0.024931957369786373,0.02860655019564351,0.688,0.688,FDR q ≥ 0.05  (Not Significant),
Abstract+Discussion,Study Design [Review/Original],0.9766317485898469,0.964516129032258,0.9871576314091686,0.012115619557588886,0.010525882819321652,0.107,0.092,FDR q ≥ 0.05  (Not Significant),
Abstract+Discussion,Neurological Disorders,0.5997150997150997,0.5632733595310604,0.6373999347487029,0.03644174018403934,0.0376848350336032,0.007,0.002,FDR q < 0.01  (Highly Significant),**
Abstract+Discussion,White Matter Tracts,0.4044725328147788,0.37526368263493354,0.4330011236909881,0.029208850179845258,0.028528590876209292,<0.002,<0.002,FDR q < 0.001 (Very Highly Significant),***
Methods+Results,DTI Methodology [Y/N],0.9648829431438127,0.9543918918918919,0.976014224447937,0.010491051251920847,0.011131281304124219,<0.002,<0.002,FDR q < 0.001 (Very Highly Significant),***
Methods+Results,Subject Species [Human/Other],0.9686411149825784,0.9581151832460733,0.978204010462075,0.010525931736505179,0.009562895479496514,<0.002,<0.002,FDR q < 0.001 (Very Highly Significant),***
Methods+Results,Dementia-Related[Y/N],0.805352798053528,0.7759266413528191,0.836763648331637,0.029426156700708916,0.03141085027810897,<0.002,<0.002,FDR q < 0.001 (Very Highly Significant),***
Methods+Results,Study Design [Review/Original],0.9545829892650702,0.9410763892481797,0.9680589680589681,0.013506600016890524,0.013475978793897836,<0.002,<0.002,FDR q < 0.001 (Very Highly Significant),***
Methods+Results,Neurological Disorders,0.5706174591909156,0.5340743921775898,0.6080803193990002,0.03654306701332577,0.03746286020808465,0.912,0.912,FDR q ≥ 0.05  (Not Significant),
Methods+Results,White Matter Tracts,0.44337542593706153,0.41405152406575213,0.47142631169247895,0.0293239018713094,0.02805088575541742,0.079,0.068,FDR q ≥ 0.05  (Not Significant),
Methods+Discussion,DTI Methodology [Y/N],0.9579124579124579,0.9454831938880522,0.969243557772236,0.012429264024405695,0.011331099859778093,<0.002,<0.002,FDR q < 0.001 (Very Highly Significant),***
Methods+Discussion,Subject Species [Human/Other],0.9632224168126094,0.9522968197879859,0.9733544354310444,0.01092559702462359,0.010132018618434935,<0.002,<0.002,FDR q < 0.001 (Very Highly Significant),***
Methods+Discussion,Dementia-Related[Y/N],0.8062575210589651,0.775857152222368,0.8382009004187609,0.030400368836597136,0.031943379359795854,<0.002,<0.002,FDR q < 0.001 (Very Highly Significant),***
Methods+Discussion,Study Design [Review/Original],0.9461474730737366,0.9307756463719766,0.9600734706722506,0.01537182670175996,0.013925997598513984,<0.002,<0.002,FDR q < 0.001 (Very Highly Significant),***
Methods+Discussion,Neurological Disorders,0.5710306406685237,0.5358082840976028,0.6087093533065401,0.035222356570920876,0.037678712638016365,0.912,0.866,FDR q ≥ 0.05  (Not Significant),
Methods+Discussion,White Matter Tracts,0.425979843225084,0.3969741253222196,0.4520935479576186,0.02900571790286438,0.026113704732534604,<0.002,<0.002,FDR q < 0.001 (Very Highly Significant),***
Results+Discussion,DTI Methodology [Y/N],0.951735817104149,0.938458904109589,0.9638958858102435,0.01327691299456002,0.01216006870609454,<0.002,<0.002,FDR q < 0.001 (Very Highly Significant),***
Results+Discussion,Subject Species [Human/Other],0.9604221635883905,0.9480153271304206,0.9711298696833202,0.012406836457969916,0.010707706094929659,<0.002,<0.002,FDR q < 0.001 (Very Highly Significant),***
Results+Discussion,Dementia-Related[Y/N],0.7951515151515152,0.765788528543376,0.8266033254156769,0.029362986608139185,0.03145181026416177,<0.002,<0.002,FDR q < 0.001 (Very Highly Significant),***
Results+Discussion,Study Design [Review/Original],0.9435215946843853,0.9274365020140007,0.9581718832689166,0.016085092670384604,0.014650288584531213,<0.002,<0.002,FDR q < 0.001 (Very Highly Significant),***
Results+Discussion,Neurological Disorders,0.5728788977519942,0.5384073038098982,0.6119003598182752,0.03447159394209598,0.03902146206628099,0.849,0.728,FDR q ≥ 0.05  (Not Significant),
Results+Discussion,White Matter Tracts,0.43390259329538267,0.4063161610719992,0.46340694194811183,0.027586432223383472,0.029504348652729162,0.025,0.018,FDR q < 0.05  (Statistically Significant),*
Abstract+Methods+Results,DTI Methodology [Y/N],0.9852216748768473,0.9785478547854786,0.9910350448247759,0.006673820091368743,0.005813369947928582,0.884,0.716,FDR q ≥ 0.05  (Not Significant),
Abstract+Methods+Results,Subject Species [Human/Other],0.9906223358908781,0.984743813703693,0.9957446808510638,0.005878522187185098,0.00512234496018571,0.512,0.366,FDR q ≥ 0.05  (Not Significant),
Abstract+Methods+Results,Dementia-Related[Y/N],0.8297872340425532,0.8019438134314778,0.8587712716065925,0.027843420611075365,0.028984037564039333,0.280,0.218,FDR q ≥ 0.05  (Not Significant),
Abstract+Methods+Results,Study Design [Review/Original],0.9774557165861514,0.9653505237711523,0.9871576314091686,0.01210519281499911,0.009701914823017188,0.274,0.274,FDR q ≥ 0.05  (Not Significant),
Abstract+Methods+Results,Neurological Disorders,0.5826446280991735,0.5465750156825672,0.6201553064371065,0.036069612416606334,0.03751067833793298,0.300,0.138,FDR q ≥ 0.05  (Not Significant),
Abstract+Methods+Results,White Matter Tracts,0.4518142801404604,0.42416600256637016,0.4810549792145845,0.02764827757409022,0.029240699074124132,0.140,0.130,FDR q ≥ 0.05  (Not Significant),
Abstract+Methods+Discussion,DTI Methodology [Y/N],0.9869067103109657,0.9801980198019802,0.992677270591097,0.006708690508985482,0.005770560280131343,0.943,0.876,FDR q ≥ 0.05  (Not Significant),
Abstract+Methods+Discussion,Subject Species [Human/Other],0.9923404255319149,0.9869778603408266,0.996691140301725,0.005362565191088353,0.004350714769810082,0.797,0.626,FDR q ≥ 0.05  (Not Significant),
Abstract+Methods+Discussion,Dementia-Related[Y/N],0.8354725787631272,0.8096868192931762,0.863389181772225,0.025785759469950986,0.027916603009097818,0.607,0.564,FDR q ≥ 0.05  (Not Significant),
Abstract+Methods+Discussion,Study Design [Review/Original],0.9693548387096774,0.9557504296420957,0.9814963797264682,0.013604409067581757,0.012141541016790769,<0.002,<0.002,FDR q < 0.001 (Very Highly Significant),***
Abstract+Methods+Discussion,Neurological Disorders,0.5786593707250342,0.5424401886358408,0.6144974183188423,0.03621918208919339,0.03583804759380815,0.476,0.272,FDR q ≥ 0.05  (Not Significant),
Abstract+Methods+Discussion,White Matter Tracts,0.432631807333478,0.40434711144846475,0.46238840232552336,0.028284695885013256,0.02975659499204536,0.018,0.010,FDR q < 0.05  (Statistically Significant),*
Abstract+Results+Discussion,DTI Methodology [Y/N],0.9860997547015535,0.9794230201622343,0.9918831168831169,0.006676734539319273,0.0057833621815633895,1.000,1.000,FDR q ≥ 0.05  (Not Significant),
Abstract+Results+Discussion,Subject Species [Human/Other],0.9931972789115646,0.9880540970216739,0.9974598872110759,0.005143181889890713,0.004262608299511306,0.892,0.884,FDR q ≥ 0.05  (Not Significant),
Abstract+Results+Discussion,Dementia-Related[Y/N],0.8296122209165687,0.8047968343964091,0.8565100094242898,0.024815386520159577,0.026897788507721065,0.280,0.216,FDR q ≥ 0.05  (Not Significant),
Abstract+Results+Discussion,Study Design [Review/Original],0.9742351046698873,0.9614147909967846,0.9855072463768116,0.012820313673102657,0.011272141706924366,0.059,0.046,FDR q ≥ 0.05  (Not Significant),
Abstract+Results+Discussion,Neurological Disorders,0.5826989619377163,0.5460995290150253,0.6206908797021944,0.036599432922690966,0.03799191776447808,0.300,0.150,FDR q ≥ 0.05  (Not Significant),
Abstract+Results+Discussion,White Matter Tracts,0.45499383477188654,0.42760219320435877,0.48350931633715805,0.02739164156752777,0.028515481565271505,0.292,0.292,FDR q ≥ 0.05  (Not Significant),
Methods+Results+Discussion,DTI Methodology [Y/N],0.9631490787269682,0.9518153734495818,0.9744023764026243,0.011333705277386419,0.011253297675656082,<0.002,<0.002,FDR q < 0.001 (Very Highly Significant),***
Methods+Results+Discussion,Subject Species [Human/Other],0.967741935483871,0.9573527498768851,0.9767901062915059,0.010389185606985873,0.00904817080763487,<0.002,<0.002,FDR q < 0.001 (Very Highly Significant),***
Methods+Results+Discussion,Dementia-Related[Y/N],0.7995169082125604,0.7690354511216637,0.8311741537151374,0.03048145709089667,0.03165724550257698,<0.002,<0.002,FDR q < 0.001 (Very Highly Significant),***
Methods+Results+Discussion,Study Design [Review/Original],0.9597370583401807,0.9463253509496284,0.9722675367047309,0.013411707390552308,0.012530478364550124,<0.002,<0.002,FDR q < 0.001 (Very Highly Significant),***
Methods+Results+Discussion,Neurological Disorders,0.5746164574616457,0.5412014585889594,0.6086407298742011,0.033414998872686286,0.034024272412555456,0.784,0.572,FDR q ≥ 0.05  (Not Significant),
Methods+Results+Discussion,White Matter Tracts,0.44533947065592633,0.4193709201257261,0.4734031086435326,0.02596855053020025,0.02806363798760625,0.025,0.018,FDR q < 0.05  (Statistically Significant),*
Full Text,DTI Methodology [Y/N],0.9860997547015535,0.9793890913398273,0.992677270591097,0.00671066336172621,0.006577515889543473,,,,ns
Full Text,Subject Species [Human/Other],0.994052676295667,0.9890820252829212,0.9982905982905983,0.0049706510127457415,0.004237921994931337,,,,ns
Full Text,Dementia-Related[Y/N],0.8402777777777778,0.8138957927912683,0.8662170658909444,0.026381984986509455,0.025939288113166592,,,,ns
Full Text,Study Design [Review/Original],0.9790996784565916,0.9678456591639871,0.9887861736334405,0.0112540192926045,0.00968649517684883,,,,ns
Full Text,Neurological Disorders,0.56957928802589,0.5319554207071946,0.6057004300078125,0.03762386731869538,0.03612114198192251,,,,ns
Full Text,White Matter Tracts,0.4670590468957661,0.4404287366803154,0.4967479271940636,0.026630310215450703,0.02968888029829747,,,,ns
